Order,UID,Barcode,I,year,row,genotype,note,pedigree,field,experiment,sublock,Block,pheno,G,K,DNA,instructions,planting,row length,Plant Number,Germinated plants
2146,22HL_2146,22HL_2146_BGEM-0257-S_BGEM-0257-S,GX,2022,2146,BGEM-0257-S,BGEM_Tall_late,BGEM-0257-S,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2147,22HL_2147,22HL_2147_B73_21S0068,GX,2022,2147,B73,BGEM_Tall_late,21S0068,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2148,22HL_2148,22HL_2148_BGEM-0240-N_BGEM-0240-N,GX,2022,2148,BGEM-0240-N,BGEM_Tall_late,BGEM-0240-N,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2149,22HL_2149,22HL_2149_BGEM-0168-S_21S0580,GX,2022,2149,BGEM-0168-S,BGEM_Tall_late,21S0580,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2150,22HL_2150,22HL_2150_BGEM-0033-S_BGEM-0033-S,GX,2022,2150,BGEM-0033-S,BGEM_Tall_late,BGEM-0033-S,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2151,22HL_2151,22HL_2151_BGEM-0150-S_BGEM-0150-S,GX,2022,2151,BGEM-0150-S,BGEM_Short_early,BGEM-0150-S,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2152,22HL_2152,22HL_2152_BGEM-0202-N_BGEM-0202-N,GX,2022,2152,BGEM-0202-N,BGEM_Short_early,BGEM-0202-N,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2153,22HL_2153,22HL_2153_BGEM-0207-N_BGEM-0207-N,GX,2022,2153,BGEM-0207-N,BGEM_Short_early,BGEM-0207-N,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2154,22HL_2154,22HL_2154_BGEM-0116-S_BGEM-0116-S,GX,2022,2154,BGEM-0116-S,BGEM_Short_early,BGEM-0116-S,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2155,22HL_2155,22HL_2155_MO17_21S0244,GX,2022,2155,MO17,BGEM_Short_early,21S0244,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2156,22HL_2156,22HL_2156_BGEM-0162-S_BGEM-0162-S,GX,2022,2156,BGEM-0162-S,BGEM_Short_early,BGEM-0162-S,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2157,22HL_2157,22HL_2157_BGEM-0282-N_BGEM-0282-N,GX,2022,2157,BGEM-0282-N,BGEM_Short_early,BGEM-0282-N,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2158,22HL_2158,22HL_2158_BGEM-0149-S_BGEM-0149-S,GX,2022,2158,BGEM-0149-S,BGEM_Short_early,BGEM-0149-S,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2159,22HL_2159,22HL_2159_BGEM-0141-N_BGEM-0141-N,GX,2022,2159,BGEM-0141-N,BGEM_Short_early,BGEM-0141-N,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2160,22HL_2160,22HL_2160_BGEM-0115-S_BGEM-0115-S,GX,2022,2160,BGEM-0115-S,BGEM_Short_early,BGEM-0115-S,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2161,22HL_2161,22HL_2161_BGEM-0083-S_BGEM-0083-S,GX,2022,2161,BGEM-0083-S,BGEM_Short_early,BGEM-0083-S,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2162,22HL_2162,22HL_2162_B73_21S0068,GX,2022,2162,B73,BGEM_Short_early,21S0068,Havelock,LN,sb1,BK2,yes,,20,,Open pollination,,15 FT,,
2163,22HL_2163,22HL_2163_BGEM-0242-N_BGEM-0242-N,GX,2022,2163,BGEM-0242-N,BGEM_Short_late,BGEM-0242-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2164,22HL_2164,22HL_2164_BGEM-0249-N_21S0645,GX,2022,2164,BGEM-0249-N,BGEM_Short_late,21S0645,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2165,22HL_2165,22HL_2165_BGEM-0164-S_BGEM-0164-S,GX,2022,2165,BGEM-0164-S,BGEM_Short_late,BGEM-0164-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2166,22HL_2166,22HL_2166_BGEM-0262-S_BGEM-0262-S,GX,2022,2166,BGEM-0262-S,BGEM_Short_late,BGEM-0262-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
